Arrowhead Stadium,Kansas City Chiefs
AT&T Stadium,Dallas Cowboys
Bank of America Stadium,Carolina Panthers
Candlestick Park,San Francisco 49ers
CenturyLink Field,Seattle Seahawks
Edward Jones Dome,St. Louis Rams
EverBank Field,Jacksonville Jaguars
FedExField,Washington Redskins
FirstEnergy Stadium,Cleveland Browns
Ford Field,Detroit Lions
Georgia Dome,Atlanta Falcons
Gillette Stadium,New England Patriots
Heinz Field,Pittsburgh Steelers
Lambeau Field,Green Bay Packers
Lincoln Financial Field,Philadelphia Eagles
Louisiana Superdome,New Orleans Saints
LP Field,Tennessee Titans
Lucas Oil Stadium,Indianapolis Colts
M&T Bank Stadium,Baltimore Ravens
Mall of America Field,Minnesota Vikings
MetLife Stadium,New York Jets
MetLife Stadium,New York Giants
O.co Coliseum,Oakland Raiders
Paul Brown Stadium,Cincinnati Bengals
Qualcomm Stadium,San Diego Chargers
Ralph Wilson Stadium,Buffalo Bills
Raymond James Stadium,Tampa Bay Buccaneers
Reliant Stadium,Houston Texans
Soldier Field,Chicago Bears
Sports Authority Field at Mile High,Denver Broncos
Sun Life Stadium,Miami Dolphins
University of Phoenix Stadium,Arizona Cardinals
