New England Patriots,Bill Belichick,AFC,East
New York Jets,Rex Ryan,AFC,East
Miami Dolphins,Joe Philbin,AFC,East
Buffalo Bills,Doug Marrone,AFC,East
Cincinnati Bengals,Marvin Lewis,AFC,North
Pittsburgh Steelers,Mike Tomlin,AFC,North
Baltimore Ravens,John Harbaugh,AFC,North
Cleveland Browns,Rob Chudzinski,AFC,North
Indianapolis Colts,Chuck Pagano,AFC,South
Tennessee Titans,Mike Munchak,AFC,South
Jacksonville Jaguars,Gus Bradley,AFC,South
Houston Texans,Wade Phillips,AFC,South
Denver Broncos,John Fox,AFC,West
Kansas City Chiefs,Andy Reid?,AFC,West
San Diego Chargers,Mike McCoy,AFC,West
Oakland Raiders,Dennis Allen,AFC,West
Philadelphia Eagles,Chip Kelly,NFC,East
Dallas Cowboys,Jason Garrett,NFC,East
New York Giants,Tom Coughlin,NFC,East
Washington Redskins,Mike Shanahan,NFC,East
Green Bay Packers,Mike McCarthy,NFC,North
Chicago Bears,Marc Trestman,NFC,North
Detroit Lions,Jim Schwartz,NFC,North
Minnesota Vikings,Leslie Frazier,NFC,North
Carolina Panthers,Ron Rivera,NFC,South
New Orleans Saints,Sean Payton,NFC,South
Atlanta Falcons,Mike Smith,NFC,South
Tampa Bay Buccaneers,Greg Schiano,NFC,South
Seattle Seahawks,Pete Carroll,NFC,West
San Francisco 49ers,Jim Harbaugh,NFC,West
Arizona Cardinals,Bruce Arians,NFC,West
St. Louis Rams,Jeff Fisher,NFC,West
